Long	Lat	Station	Year	Month	Day	Tmax	Tmin	Precip
71.85	46.98	1234567	2003	3	1	10	5	0
71.85	46.98	1234567	2003	3	2	10	5	0
71.85	46.98	1234567	2003	3	3	10	5	0
71.85	46.98	1234567	2003	3	4	10	5	0
71.85	46.98	1234567	2003	3	5	10	5	0
71.85	46.98	1234567	2003	3	6	10	5	0
71.85	46.98	1234567	2003	3	7	10	5	0
71.85	46.98	1234567	2003	3	8	10	5	0
71.85	46.98	1234567	2003	3	9	10	5	0
71.85	46.98	1234567	2003	3	10	10	5	0
71.85	46.98	1234567	2003	3	11	10	5	0
71.85	46.98	1234567	2003	3	12	10	5	0
71.85	46.98	1234567	2003	3	13	10	5	0
71.85	46.98	1234567	2003	3	14	10	5	0
71.85	46.98	1234567	2003	3	15	10	5	0
71.85	46.98	1234567	2003	3	16	10	5	0
71.85	46.98	1234567	2003	3	17	10	5	0
71.85	46.98	1234567	2003	3	18	10	5	0
71.85	46.98	1234567	2003	3	19	10	5	0
71.85	46.98	1234567	2003	3	20	10	5	0
71.85	46.98	1234567	2003	3	21	10	5	0
71.85	46.98	1234567	2003	3	22	10	5	0
71.85	46.98	1234567	2003	3	23	10	5	0
71.85	46.98	1234567	2003	3	24	10	5	0
71.85	46.98	1234567	2003	3	25	10	5	0
71.85	46.98	1234567	2003	3	26	10	5	0
71.85	46.98	1234567	2003	3	27	10	5	0
71.85	46.98	1234567	2003	3	28	10	5	0
71.85	46.98	1234567	2003	3	29	10	5	0
71.85	46.98	1234567	2003	3	30	10	5	0
71.85	46.98	1234567	2003	3	31	10	5	0
71.85	46.98	1234567	2003	4	1	10	5	0
71.85	46.98	1234567	2003	4	2	10	5	0
71.85	46.98	1234567	2003	4	3	10	5	0
71.85	46.98	1234567	2003	4	4	10	5	0
71.85	46.98	1234567	2003	4	5	10	5	0
71.85	46.98	1234567	2003	4	6	10	5	0
71.85	46.98	1234567	2003	4	7	10	5	0
71.85	46.98	1234567	2003	4	8	10	5	0
71.85	46.98	1234567	2003	4	9	10	5	0
71.85	46.98	1234567	2003	4	10	10	5	0
71.85	46.98	1234567	2003	4	11	10	5	0
71.85	46.98	1234567	2003	4	12	10	5	0
71.85	46.98	1234567	2003	4	13	10	5	0
71.85	46.98	1234567	2003	4	14	10	5	0
71.85	46.98	1234567	2003	4	15	10	5	0
71.85	46.98	1234567	2003	4	16	10	5	0
71.85	46.98	1234567	2003	4	17	10	5	0
71.85	46.98	1234567	2003	4	18	10	5	0
71.85	46.98	1234567	2003	4	19	10	5	0
71.85	46.98	1234567	2003	4	20	10	5	0
71.85	46.98	1234567	2003	4	21	10	5	0
71.85	46.98	1234567	2003	4	22	10	5	0
71.85	46.98	1234567	2003	4	23	10	5	0
71.85	46.98	1234567	2003	4	24	10	5	0
71.85	46.98	1234567	2003	4	25	10	5	0
71.85	46.98	1234567	2003	4	26	10	5	0
71.85	46.98	1234567	2003	4	27	10	5	0
71.85	46.98	1234567	2003	4	28	10	5	0
71.85	46.98	1234567	2003	4	29	10	5	0
71.85	46.98	1234567	2003	4	30	10	5	0
71.85	46.98	1234567	2003	5	1	23.0	7.5	1.4
71.85	46.98	1234567	2003	5	2	20.0	10.0	8.4
71.85	46.98	1234567	2003	5	3	10.5	7.0	6.0
71.85	46.98	1234567	2003	5	4	8.0	-1.0	4.2
71.85	46.98	1234567	2003	5	5	8.0	-3.5	0.0
71.85	46.98	1234567	2003	5	6	8.5	0.5	2.8
71.85	46.98	1234567	2003	5	7	8.0	2.5	0.0
71.85	46.98	1234567	2003	5	8	12.0	-2.5	0.0
71.85	46.98	1234567	2003	5	9	17.5	-3.5	0.0
71.85	46.98	1234567	2003	5	10	17.0	-3.0	4.2
71.85	46.98	1234567	2003	5	11	16.0	9.0	0.0
71.85	46.98	1234567	2003	5	12	15.5	0.5	2.6
71.85	46.98	1234567	2003	5	13	11.5	4.0	14.8
71.85	46.98	1234567	2003	5	14	25.0	6.5	0.0
71.85	46.98	1234567	2003	5	15	20.0	14.5	6.8
71.85	46.98	1234567	2003	5	16	16.0	4.5	0.0
71.85	46.98	1234567	2003	5	17	19.5	0.0	8.0
71.85	46.98	1234567	2003	5	18	17.0	8.5	24.8
71.85	46.98	1234567	2003	5	19	20.5	3.5	0.0
71.85	46.98	1234567	2003	5	20	20.5	3.5	3.4
71.85	46.98	1234567	2003	5	21	14.0	6.0	0.0
71.85	46.98	1234567	2003	5	22	17.5	0.5	0.0
71.85	46.98	1234567	2003	5	23	20.0	6.0	0.0
71.85	46.98	1234567	2003	5	24	13.5	5.5	12.6
71.85	46.98	1234567	2003	5	25	12.0	7.0	7.0
71.85	46.98	1234567	2003	5	26	12.5	6.5	10.0
71.85	46.98	1234567	2003	5	27	19.0	4.5	1.0
71.85	46.98	1234567	2003	5	28	14.5	8.0	9.8
71.85	46.98	1234567	2003	5	29	10.5	2.0	0.0
71.85	46.98	1234567	2003	5	30	16.0	2.0	0.0
71.85	46.98	1234567	2003	5	31	17.0	0.5	0.0
71.85	46.98	1234567	2003	6	1	11.0	6.0	27.0
71.85	46.98	1234567	2003	6	2	9.5	6.0	7.4
71.85	46.98	1234567	2003	6	3	13.0	6.5	2.2
71.85	46.98	1234567	2003	6	4	18.5	4.5	0.0
71.85	46.98	1234567	2003	6	5	21.5	0.5	0.0
71.85	46.98	1234567	2003	6	6	20.0	3.5	4.2
71.85	46.98	1234567	2003	6	7	21.5	10.0	0.0
71.85	46.98	1234567	2003	6	8	26.5	9.0	2.4
71.85	46.98	1234567	2003	6	9	25.0	18.0	0.0
71.85	46.98	1234567	2003	6	10	17.0	3.0	0.0
71.85	46.98	1234567	2003	6	11	19.5	5.0	0.0
71.85	46.98	1234567	2003	6	12	21.5	3.0	0.0
71.85	46.98	1234567	2003	6	13	22.5	5.5	2.6
71.85	46.98	1234567	2003	6	14	19.5	13.0	27.4
71.85	46.98	1234567	2003	6	15	24.5	13.0	0.0
71.85	46.98	1234567	2003	6	16	22.0	13.0	0.0
71.85	46.98	1234567	2003	6	17	25.0	9.5	0.0
71.85	46.98	1234567	2003	6	18	21.0	13.5	8.6
71.85	46.98	1234567	2003	6	19	20.0	13.0	0.0
71.85	46.98	1234567	2003	6	20	20.0	4.0	8.0
71.85	46.98	1234567	2003	6	21	18.5	9.0	0.0
71.85	46.98	1234567	2003	6	22	17.0	9.0	10.6
71.85	46.98	1234567	2003	6	23	22.5	12.5	0.0
71.85	46.98	1234567	2003	6	24	25.8	8.0	12.0
71.85	46.98	1234567	2003	6	25	18.0	10.0	0.0
71.85	46.98	1234567	2003	6	26	20.0	3.0	2.0
71.85	46.98	1234567	2003	6	27	18.0	4.5	4.0
71.85	46.98	1234567	2003	6	28	19.0	2.0	1.2
71.85	46.98	1234567	2003	6	29	20.5	5.5	6.2
71.85	46.98	1234567	2003	6	30	20.5	8.0	0.0
71.85	46.98	1234567	2003	7	1	22.5	8.0	24.8
71.85	46.98	1234567	2003	7	2	20.0	10.0	0.0
71.85	46.98	1234567	2003	7	3	25.0	10.0	0.0
71.85	46.98	1234567	2003	7	4	25.0	10.0	2.4
71.85	46.98	1234567	2003	7	5	20.0	17.0	28.4
71.85	46.98	1234567	2003	7	6	23.0	14.0	0.0
71.85	46.98	1234567	2003	7	7	24.0	9.0	47.2
71.85	46.98	1234567	2003	7	8	18.0	14.0	11.8
71.85	46.98	1234567	2003	7	9	20.5	15.0	9.0
71.85	46.98	1234567	2003	7	10	19.0	12.0	2.4
71.85	46.98	1234567	2003	7	11	25.5	13.0	0.0
71.85	46.98	1234567	2003	7	12	26.0	11.0	0.0
71.85	46.98	1234567	2003	7	13	23.0	15.5	0.0
71.85	46.98	1234567	2003	7	14	21.5	16.0	15.2
71.85	46.98	1234567	2003	7	15	18.5	16.0	12.4
71.85	46.98	1234567	2003	7	16	21.5	16.0	10.6
71.85	46.98	1234567	2003	7	17	27.0	13.5	0.0
71.85	46.98	1234567	2003	7	18	26.0	12.0	3.0
71.85	46.98	1234567	2003	7	19	25.0	16.0	0.8
71.85	46.98	1234567	2003	7	20	26.0	16.5	15.0
71.85	46.98	1234567	2003	7	21	26.0	14.0	0.0
71.85	46.98	1234567	2003	7	22	28.0	14.0	9.0
71.85	46.98	1234567	2003	7	23	18.5	13.5	0.0
71.85	46.98	1234567	2003	7	24	21.5	9.0	0.0
71.85	46.98	1234567	2003	7	25	22.0	11.5	0.0
71.85	46.98	1234567	2003	7	26	24.0	8.0	0.0
71.85	46.98	1234567	2003	7	27	23.0	10.0	0.0
71.85	46.98	1234567	2003	7	28	25.0	12.0	4.8
71.85	46.98	1234567	2003	7	29	26.5	13.0	0.4
71.85	46.98	1234567	2003	7	30	27.0	14.0	18.0
71.85	46.98	1234567	2003	7	31	23.0	18.5	9.0
71.85	46.98	1234567	2003	8	1	25.0	18.0	0.0
71.85	46.98	1234567	2003	8	2	25.0	11.0	32.0
71.85	46.98	1234567	2003	8	3	24.5	16.0	0.0
71.85	46.98	1234567	2003	8	4	23.0	8.5	1.6
71.85	46.98	1234567	2003	8	5	17.5	8.5	0.0
71.85	46.98	1234567	2003	8	6	17.0	10.0	2.0
71.85	46.98	1234567	2003	8	7	20.0	8.0	8.0
71.85	46.98	1234567	2003	8	8	20.0	11.0	4.8
71.85	46.98	1234567	2003	8	9	25.5	10.3	0.0
71.85	46.98	1234567	2003	8	10	22.0	11.0	6.8
71.85	46.98	1234567	2003	8	11	24.0	16.0	11.2
71.85	46.98	1234567	2003	8	12	20.8	16.0	6.0
71.85	46.98	1234567	2003	8	13	19.5	12.0	5.6
71.85	46.98	1234567	2003	8	14	21.0	12.0	0.0
71.85	46.98	1234567	2003	8	15	22.0	7.5	0.0
71.85	46.98	1234567	2003	8	16	23.5	9.0	0.0
71.85	46.98	1234567	2003	8	17	24.0	11.0	1.2
71.85	46.98	1234567	2003	8	18	21.0	9.5	3.6
71.85	46.98	1234567	2003	8	19	22.0	15.0	22.2
71.85	46.98	1234567	2003	8	20	20.0	6.0	0.0
71.85	46.98	1234567	2003	8	21	19.0	11.0	0.0
71.85	46.98	1234567	2003	8	22	19.0	4.0	6.4
71.85	46.98	1234567	2003	8	23	19.0	10.0	0.0
71.85	46.98	1234567	2003	8	24	18.0	4.5	0.0
71.85	46.98	1234567	2003	8	25	21.0	3.5	0.0
71.85	46.98	1234567	2003	8	26	23.0	11.5	10.0
71.85	46.98	1234567	2003	8	27	22.0	17.5	2.2
71.85	46.98	1234567	2003	8	28	26.5	18.5	0.2
71.85	46.98	1234567	2003	8	29	17.0	14.0	30.8
71.85	46.98	1234567	2003	8	30	17.0	13.0	26.6
71.85	46.98	1234567	2003	8	31	21.0	13.5	0.6
71.85	46.98	1234567	2003	9	1	18.5	10.0	0.0
71.85	46.98	1234567	2003	9	2	16.0	0.0	0.0
71.85	46.98	1234567	2003	9	3	18.5	7.0	20.0
71.85	46.98	1234567	2003	9	4	16.0	10.0	0.0
71.85	46.98	1234567	2003	9	5	18.0	6.5	0.0
71.85	46.98	1234567	2003	9	6	21.5	9.0	0.0
71.85	46.98	1234567	2003	9	7	19.0	11.0	7.0
71.85	46.98	1234567	2003	9	8	18.0	10.0	0.8
71.85	46.98	1234567	2003	9	9	13.0	8.0	122.8
71.85	46.98	1234567	2003	9	10	19.0	8.0	0.0
71.85	46.98	1234567	2003	9	11	21.0	5.0	0.0
71.85	46.98	1234567	2003	9	12	19.0	9.0	3.4
71.85	46.98	1234567	2003	9	13	16.0	5.5	0.0
71.85	46.98	1234567	2003	9	14	18.0	2.0	0.0
71.85	46.98	1234567	2003	9	15	18.0	6.0	0.0
71.85	46.98	1234567	2003	9	16	22.5	13.5	0.0
71.85	46.98	1234567	2003	9	17	19.0	13.0	0.0
71.85	46.98	1234567	2003	9	18	13.0	5.5	0.0
71.85	46.98	1234567	2003	9	19	13.0	3.5	0.0
71.85	46.98	1234567	2003	9	20	13.0	1.5	0.8
71.85	46.98	1234567	2003	9	21	15.0	9.0	0.0
71.85	46.98	1234567	2003	9	22	22.5	8.0	0.0
71.85	46.98	1234567	2003	9	23	19.5	5.0	0.0
71.85	46.98	1234567	2003	9	24	21.5	7.0	0.0
71.85	46.98	1234567	2003	9	25	21.0	10.0	0.0
71.85	46.98	1234567	2003	9	26	18.0	4.0	0.0
71.85	46.98	1234567	2003	9	27	21.0	3.5	0.0
71.85	46.98	1234567	2003	9	28	14.5	8.0	0.0
71.85	46.98	1234567	2003	9	29	17.0	0.0	0.0
71.85	46.98	1234567	2003	9	30	19.0	2.5	0.0
71.85	46.98	1234567	2003	10	1	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	2	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	3	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	4	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	5	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	6	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	7	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	8	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	9	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	10	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	11	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	12	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	13	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	14	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	15	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	16	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	17	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	18	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	19	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	20	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	21	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	22	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	23	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	24	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	25	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	26	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	27	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	28	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	29	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	30	10.0	5.0	0.0
71.85	46.98	1234567	2003	10	31	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	1	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	2	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	3	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	4	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	5	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	6	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	7	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	8	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	9	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	10	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	11	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	12	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	13	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	14	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	15	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	16	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	17	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	18	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	19	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	20	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	21	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	22	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	23	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	24	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	25	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	26	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	27	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	28	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	29	10.0	5.0	0.0
71.85	46.98	1234567	2003	11	30	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	1	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	2	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	3	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	4	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	5	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	6	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	7	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	8	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	9	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	10	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	11	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	12	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	13	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	14	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	15	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	16	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	17	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	18	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	19	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	20	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	21	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	22	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	23	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	24	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	25	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	26	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	27	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	28	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	29	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	30	10.0	5.0	0.0
71.85	46.98	1234567	2003	12	31	10.0	5.0	0.0
